# a0	a1	a2	a3
    -21.0666	    -24.8606	    -42.2321	    -21.7315
    -13.4534	    -12.3288	    -37.0570	     -8.4183
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	    -29.1915	    -17.0390	     -8.7044
     -1.8391	     -0.8229	    -12.4905	     -3.1497
    -20.5026	    -23.2196	    -48.0269	    -14.2548
      0.0000	      0.0000	     -4.2002	      0.0000
    -39.5346	    -39.5273	    -54.1094	    -25.4301
     -2.0760	     -5.2383	    -25.5406	    -13.0645
     -3.1544	     -0.3722	    -16.3673	    -13.4952
      0.0000	    -11.1493	      0.0000	     -9.6040
    -48.5395	    -46.5282	    -56.6637	    -34.4529
    -30.5653	    -28.2984	    -57.3559	    -52.4054
     -1.4954	    -11.6655	    -13.3637	     -6.1804
    -66.5877	    -85.5017	    -72.6969	    -60.2307
     -7.3060	    -10.1201	    -18.3502	    -31.9386
     -0.7025	    -28.2874	      0.0000	      0.0000
    -26.6650	      0.0000	    -11.2164	    -21.5078
    -38.5440	    -29.7037	    -53.1409	    -25.5213
    -39.8307	    -44.5246	    -25.2969	    -62.8241
    -24.2473	    -27.8619	    -12.3665	     -5.0209
     -2.8303	     -1.3171	    -30.1540	     -1.9940
      0.0000	     -4.3917	    -37.3289	     -8.4726
      0.0000	    -20.0995	    -29.5949	    -10.1791
    -16.3261	    -10.4161	    -30.2403	     -8.5136
     -7.8691	    -18.5442	    -10.3035	     -7.9674
      0.0000	      0.0000	      0.0000	      0.0000
      2.2506	    -14.3665	    -23.4292	     -2.1638
    -63.4211	    -54.2703	    -73.8634	    -68.8352
     -6.9059	    -14.7268	     -8.0208	    -11.0298
    -46.0145	    -49.2409	    -42.2186	    -53.6635
      0.0000	      0.0000	     -8.2209	      0.0000
     10.0159	     15.0878	    -16.5385	    -18.2999
      0.0000	      0.0000	      0.0000	      0.0000
    -66.0301	    -91.5825	   -121.0040	    -86.1196
    -16.2990	    -25.8132	    -31.0652	    -19.9030
     -2.1876	    -44.3725	    -64.7882	     -9.3105
     -6.0329	     -9.7643	    -28.8108	     -1.2894
     -4.5894	    -16.1912	    -16.8166	      0.0000
    -32.5393	    -32.7761	    -41.9177	    -24.1588
    -66.8790	    -79.6764	    -52.1575	    -67.9724
     -5.2424	    -10.7008	     -0.6839	     -8.0981
      0.0000	      0.0000	    -20.0842	     -6.3542
    -35.4352	    -30.0311	    -63.0038	    -26.8679
    -12.1724	    -11.4673	    -44.4416	      0.0000
     -1.6873	    -12.7881	    -16.2649	     -1.0519
     -1.1918	    -17.8242	      0.1705	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -32.0906	    -32.8944	    -44.2497	    -30.9092
     -5.6062	     -8.7472	    -31.0978	     -9.9039
   -102.9332	    -90.6991	   -101.2662	    -69.7137
      0.0000	      0.0000	    -21.9994	     -1.6471
     -3.3394	     -5.3620	    -23.8888	    -10.5858
     -0.3560	    -12.2263	    -13.9811	      0.8868
    -21.7575	      0.0000	      0.2747	     -1.9164
     -7.1081	     -5.9094	     -9.9453	     -3.9873
    -25.7151	    -43.7965	    -33.2474	    -38.6395
    -26.3875	    -25.3018	    -38.2262	    -26.6560
   -105.7599	    -94.4709	    -94.7789	    -85.0602
    -23.9566	     -9.9972	    -24.6897	    -15.4635
     -9.0540	     -6.9819	    -16.5707	     -1.1109
    -46.1979	    -49.8884	    -52.6809	    -54.9858
     -0.8175	    -10.9382	    -20.3882	     -6.3275
     -8.9365	    -12.6637	    -43.7367	     -3.2852
