# a0	a1	a2	a3
      0.0000	     -1.2255	      0.0000	      0.0000
     -1.8583	     -2.9968	    -12.4982	     -1.9366
     -9.5494	    -11.4285	    -10.5065	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	     -9.1526	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.1790
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -4.7114	     -2.4073	    -10.0159	     -6.0410
      0.0000	      0.0000	      0.0000	      0.0000
      0.1724	      1.5650	     -4.4724	     -5.0612
    -10.0005	    -10.3712	      0.0000	    -16.8684
      0.0000	    -19.8506	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -1.6374	     -1.0679	    -12.7680	     -3.1694
      0.0000	      0.0000	      0.0000	     -4.6349
     -3.3694	      1.3893	      0.0000	     -5.1554
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	     -6.3555	    -12.2533	      0.0000
     -5.1815	     -8.7927	      0.0000	    -10.7072
      0.0000	      0.0000	      0.0000	     -5.2862
     -4.5749	     -4.9998	      0.0000	      0.0000
      0.0000	     -6.3207	     -8.0879	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -15.7401	    -33.3294	    -18.0129	     -7.5780
      0.0000	      0.0000	      0.0000	      0.0000
    -10.0901	    -11.8019	    -31.6215	     -3.2775
     -1.9808	    -11.0214	     -8.9409	      0.0000
    -28.9925	      0.0000	      0.0000	     -7.7008
      0.0000	    -20.4253	      0.0000	      0.0399
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	     -7.3808	    -10.9700	      0.0000
     -1.2171	     -0.0242	     -4.5249	     -3.1283
    -18.5987	    -15.3863	    -14.7182	     -7.9272
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -4.3101	     -3.6756	      0.0000	     -7.6436
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	    -20.3399	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	     -0.3179
      0.0000	      0.0000	    -11.8490	     -9.4371
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	     -2.0271
      0.0000	      0.0000	     -8.9146	      0.0000
      0.0000	      0.0000	    -15.5900	      0.0000
     -4.6153	     -4.4468	      0.0000	      0.0000
     -1.0011	     -9.3210	    -11.8411	      0.4872
     -8.3226	     -5.1534	     -8.0253	    -15.6140
    -28.5559	      0.0000	      0.0000	    -22.2777
      0.0000	     -0.3249	      2.7084	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	    -12.0335	     -1.4710
      0.0000	     -2.9023	      0.0000	      0.0000
      0.0000	     -2.3039	     -6.9323	      0.0000
      1.3643	      4.5405	     -1.2523	      0.5134
     -5.2201	      0.0000	      0.0000	     -4.8579
      0.0000	      0.0000	      0.0000	      0.0000
     -9.1849	      0.0000	    -15.8159	    -10.7503
      0.0000	      0.0000	      0.0000	     -3.9038
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -4.5375	     -5.0430	    -20.9496	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      1.1404	     -1.9064	    -30.1148	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	    -21.0531	     -3.6225
      0.0000	      0.0000	      0.0000	    -12.5142
     -0.4108	     -0.8043	    -10.7457	      0.0000
     -4.7035	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	    -10.4467	      0.0000
     -3.8576	     -2.2061	    -23.1841	     -3.3761
      0.0000	      0.0000	      0.0000	      0.0000
    -10.4802	     -4.0648	    -12.0299	     -8.8554
      0.0000	     -1.4190	      0.0000	      0.0000
     -2.5775	      0.0000	      0.0000	      0.0000
     -1.2409	     -1.6322	    -24.0029	     -2.8872
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	     -2.4030
     -2.5353	      1.8091	     -4.2841	     -9.3507
     -3.6515	      0.5932	     -8.6238	     -5.3213
      0.0000	     -3.0309	    -30.2491	    -17.8667
     -9.6057	     -9.0520	    -11.1019	     -6.9454
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	     -1.7808
      0.0000	      0.0000	      0.0000	      0.0000
    -19.2781	      0.0000	    -26.2654	     -7.9147
      0.0000	      0.0000	      0.0000	      0.0000
     -0.5690	     -1.6755	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	     -5.4256	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -2.3894	      0.0000	      0.1370	      0.0000
     -4.6291	     -5.7886	     -6.3849	     -4.8678
     -1.3186	      0.0000	    -10.0620	      0.0000
     -8.7113	    -11.7409	     -7.3323	    -15.9966
     -1.7913	     -4.9586	      0.0000	     -3.7544
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -0.7357	     -0.4441	    -15.8618	      0.0000
      0.0000	     -3.1960	      0.0000	      0.0000
     -3.7472	     -3.2339	    -15.2166	      0.0000
     -9.8397	      0.0000	     -7.3655	    -10.4809
     -0.8871	     -0.5231	    -15.2971	      0.0000
      0.0000	     -5.4166	      0.0000	     -5.7149
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	     -7.8995	    -25.3510	      0.0000
      0.0000	      0.0000	     -7.5297	     -6.4318
      0.0000	    -10.6988	      0.0000	     -4.1375
     -3.6470	     -7.0669	    -21.4082	     -5.0883
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	    -23.0799	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -0.0694	     -4.3589	     -5.5590	      0.0000
    -12.0576	     -4.7046	    -20.0933	    -13.1897
    -10.6335	    -12.8479	      0.0000	    -16.7671
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      1.3186	     -3.6833	    -20.5077	      0.1252
      0.0000	      1.3205	      0.0000	      0.0000
      0.0000	      0.0000	    -11.7192	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -7.7055	      0.0000	      0.0000	     -8.6629
     -4.5508	      0.0000	    -10.2472	     -3.4235
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	    -16.3769	    -18.0954
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0152	     -9.5259	      0.0000
      0.0000	    -17.2861	    -15.3707	      0.0000
      0.0000	     -0.8392	      0.0000	      0.0000
     -4.7640	     -1.0800	    -13.7558	     -4.4896
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -1.6067	      0.0000	     -6.7652	     -1.7235
      0.0000	      0.0000	     -9.1222	      0.0000
      0.0000	      0.0000	     -6.0731	      0.0000
     -5.4968	     -1.2786	      0.0000	     -5.9998
      0.0000	      0.0000	      2.4909	     -4.2124
     -1.3576	      0.0000	     -7.9934	      0.1302
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	     -2.4440	    -13.6953	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -6.3103	      0.0000	      0.0000	     -7.8365
     -7.1581	      0.0000	    -14.4562	     -3.4684
     -2.0988	      0.0000	      0.0000	    -21.3051
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -5.8860	     -4.7812	    -19.9622	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	    -10.8826	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	     -9.4921	    -14.4943
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -5.7698	     -4.0996	      0.0000	     -4.7360
     -6.0117	     -5.6439	    -11.7201	     -5.5949
      0.0000	     -5.6462	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -6.2553	     -8.3447	      0.0000	     -7.6505
      0.0000	      0.0000	      0.0000	    -18.7287
     -4.2342	    -21.9182	    -11.3346	    -20.1043
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -2.1442	     -0.9731	    -17.6141	      0.0000
      0.0000	      0.0000	      0.0000	     -2.4331
      0.0000	      0.0000	      0.0000	      0.0000
     -3.9852	      0.9961	     -8.2924	     -5.0100
     -0.5133	     -5.6379	     -2.6894	     -1.0896
      0.0000	      0.0000	      0.0000	      0.0000
     -3.4035	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -10.2846	     -7.1224	    -17.9159	    -12.5565
     -7.5864	     -4.2837	     -8.5299	     -3.0402
      0.0000	     -0.6680	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	     -1.9136
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -0.2112	     -0.3704	      0.0000	     -1.0475
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -0.1060	     -1.3304	     -8.0438	      0.0000
     -3.8234	     -3.9203	    -16.0648	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	     -2.3484	      1.1533	     -2.6731
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -0.2770	     -2.7596	      0.0000	     -1.7360
      0.0000	      1.8083	     -8.8652	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -1.9367	     -2.9939	    -27.0654	     -3.4565
      0.0000	      0.2865	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	     -9.7598	      0.0000	    -21.7373
      0.0000	      0.0000	     -5.8463	      0.0000
     -4.6104	      0.0000	      0.0000	      0.0000
    -10.5813	      0.0000	    -13.2285	    -11.6677
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -6.3503	     -5.3286	    -22.3598	     -5.2099
      0.0000	      0.0000	     -7.9110	      0.0000
     -6.8114	     -3.4884	    -15.3673	     -4.2550
    -14.3585	    -18.9035	    -28.4977	    -13.3024
    -30.5258	     -2.5323	    -40.0966	      0.0000
      0.0186	     -0.8389	     -5.2129	      2.2307
     -0.1672	      0.3486	     -7.2676	      0.7018
      0.0000	      0.0000	      0.0000	      0.0000
